k,spec_drift,purity,entropy,purity_std,entropy_std,hs_dist,reduced_purity,reduced_entropy
0,0.0,0.0626421719789505,2.7714507579803467,1.5526929928455502e-05,0.00012365297880023718,0.0,0.12524650990962982,2.0784552097320557
1,5.692616511510096e-08,0.0626421719789505,2.771450996398926,1.552609319332987e-05,0.0001236308744410053,0.0037730855401605368,0.12524208426475525,2.0784730911254883
2,5.842233008479525e-08,0.0626421719789505,2.771450996398926,1.5526024071732536e-05,0.00012364763824734837,0.006277691572904587,0.12523801624774933,2.078489303588867
3,5.899330091096999e-08,0.0626421719789505,2.771450996398926,1.5526597053394653e-05,0.00012362803681753576,0.008216659538447857,0.12523436546325684,2.0785036087036133
4,5.8630970301010166e-08,0.0626421719789505,2.771450996398926,1.5526009519817308e-05,0.00012364721624180675,0.010102304629981518,0.12523114681243896,2.078516721725464
5,6.132506769063184e-08,0.0626421719789505,2.7714507579803467,1.55254929268267e-05,0.00012367629096843302,0.01165990624576807,0.12522828578948975,2.0785281658172607
6,6.378046890631595e-08,0.0626421719789505,2.771450996398926,1.5526382412645034e-05,0.00012366149167064577,0.01290563028305769,0.12522563338279724,2.0785388946533203
7,6.496946269862747e-08,0.0626421719789505,2.771450996398926,1.5526838978985325e-05,0.00012363996938802302,0.014018428511917591,0.12522312998771667,2.0785489082336426
8,6.654872919398258e-08,0.0626421719789505,2.771450996398926,1.5526435163337737e-05,0.00012365471047814935,0.014916462823748589,0.12522068619728088,2.0785586833953857
9,6.645088745926842e-08,0.0626421719789505,2.771450996398926,1.5525465641985647e-05,0.00012365882867015898,0.01563265174627304,0.1252182126045227,2.078568458557129
10,6.920151207623348e-08,0.0626421719789505,2.7714507579803467,1.5526047718594782e-05,0.00012367573799565434,0.016196809709072113,0.12521566450595856,2.078578472137451
11,7.037846216917387e-08,0.0626421719789505,2.771450996398926,1.552715548314154e-05,0.0001236566313309595,0.016545211896300316,0.12521310150623322,2.0785889625549316
12,7.144853952922858e-08,0.0626421719789505,2.7714507579803467,1.5525089111179113e-05,0.00012367733870632946,0.016728714108467102,0.12521050870418549,2.078598976135254
13,7.467423301932286e-08,0.0626421719789505,2.7714507579803467,1.5526009519817308e-05,0.00012367888120934367,0.016774026677012444,0.1252078413963318,2.0786097049713135
14,7.531672707727921e-08,0.0626421719789505,2.7714507579803467,1.5526249626418576e-05,0.00012367758608888835,0.01680736616253853,0.12520527839660645,2.078619956970215
15,7.657013156858739e-08,0.0626421719789505,2.771450996398926,1.552593857923057e-05,0.00012365009752102196,0.01676062121987343,0.12520284950733185,2.078629493713379
16,7.895366138654936e-08,0.0626421719789505,2.7714507579803467,1.552755929878913e-05,0.0001236436510225758,0.016690757125616074,0.12520065903663635,2.0786380767822266
17,7.800194623541756e-08,0.0626421719789505,2.771450996398926,1.5526247807429172e-05,0.00012365149450488389,0.016611427068710327,0.1251986175775528,2.078646183013916
18,7.968592541374164e-08,0.0626421719789505,2.771450996398926,1.5526147763011977e-05,0.00012366593000479043,0.016560614109039307,0.12519660592079163,2.0786542892456055
19,8.194495393354373e-08,0.0626421719789505,2.771450996398926,1.5525170965702273e-05,0.0001236571406479925,0.016537319868803024,0.12519443035125732,2.0786631107330322
20,8.219492997341149e-08,0.0626421719789505,2.771450996398926,1.5526607967331074e-05,0.0001236766402143985,0.0165316853672266,0.1251920759677887,2.078672409057617
21,8.370108872668425e-08,0.0626421719789505,2.771450996398926,1.5526315110037103e-05,0.00012365718430373818,0.016536938026547432,0.12518960237503052,2.0786824226379395
22,8.57507416185399e-08,0.0626421794295311,2.771450996398926,1.5526729839621112e-05,0.00012363361020106822,0.01653851754963398,0.12518702447414398,2.078692674636841
23,8.635277737312208e-08,0.0626421719789505,2.771450996398926,1.552662615722511e-05,0.00012365629663690925,0.01654016599059105,0.12518441677093506,2.0787034034729004
24,8.706228982191533e-08,0.0626421719789505,2.7714507579803467,1.5526604329352267e-05,0.00012368385796435177,0.01657392829656601,0.12518174946308136,2.0787136554718018
25,8.851306176893559e-08,0.0626421719789505,2.771450996398926,1.552565117890481e-05,0.0001236407260876149,0.016552558168768883,0.1251790076494217,2.0787246227264404
26,9.073526285874323e-08,0.0626421719789505,2.771450996398926,1.5526546121691354e-05,0.00012366322334855795,0.0165655966848135,0.125176340341568,2.078735589981079
27,9.101433562364036e-08,0.0626421719789505,2.771450996398926,1.5525622075074352e-05,0.00012366008013486862,0.016550617292523384,0.12517370283603668,2.0787460803985596
28,9.262187461445137e-08,0.0626421719789505,2.771450996398926,1.552706817165017e-05,0.00012362957932054996,0.016551194712519646,0.12517112493515015,2.078756332397461
29,9.416105939408226e-08,0.0626421719789505,2.7714507579803467,1.5526326023973525e-05,0.00012367973977234215,0.016542261466383934,0.12516865134239197,2.078766345977783
30,9.53629211153384e-08,0.0626421719789505,2.771450996398926,1.552540015836712e-05,0.00012367533054202795,0.016537489369511604,0.12516643106937408,2.07877516746521
